Partlist

Exported from TiLDA Mk2 Prototype v0.1.sch at 18/01/2014 12:49:16

EAGLE Version 6.1.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value                       Device                    Package                  Library           Sheet
R31      0402/0R/5%                  R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R32      0402/0R/5%                  R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R33      0402/1K5/5%                 R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R34      0402/1K5/5%                 R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R35      0402/10K/5%                 R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R36      0402/10K/5%                 R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R37      0402/10K/5%                 R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R38      0402/100K/5%                R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R39      0402/100K/5%                R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R102     0402/10K/5%                 R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R104     0402/100K/1%                R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R105     0402/39R/1%                 R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R106     0402/39R/1%                 R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
R107     0603/6K8/1%                 R-EU_R0603-ROUND          R0603-ROUND              TiLDA Mk2 Parts   1
R108     0402/0R/5%/(NP)             R-EU_R0402-ARDUINO-ROUND  R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
RX       0603/LED/RED                LED0603-CORRECT           LED-0603-CORRECT         TiLDA Mk2 Parts   1
S1       SKQGAKE010                  TAC_SWITCHSMD             TACTILE_SWITCH_SMD       TiLDA Mk2 Parts   1
S2       SKQGAKE010                  TAC_SWITCHSMD             TACTILE_SWITCH_SMD       TiLDA Mk2 Parts   1
S3       SKQGAKE010                  TAC_SWITCHSMD             TACTILE_SWITCH_SMD       TiLDA Mk2 Parts   1
S4       SKQGAKE010                  TAC_SWITCHSMD             TACTILE_SWITCH_SMD       TiLDA Mk2 Parts   1
S5       SKQGAKE010                  TAC_SWITCHSMD             TACTILE_SWITCH_SMD       TiLDA Mk2 Parts   1
S6       SKQGAKE010                  TAC_SWITCHSMD             TACTILE_SWITCH_SMD       TiLDA Mk2 Parts   1
S7       SKRHAAE010                  JOYSTICK_MINI-APLS        JOYSTICK_MINI_ALPS       TiLDA Mk2 Parts   1
S8       CUS-12TB                    SWITCH-SPST-SMD-A         SWITCH-SPST-SMD-A        TiLDA Mk2 Parts   1
SG1      PKLCS1212E4001-R1           BUZZER-PKLCS1212E         BUZZER-PKLCS1212E        TiLDA Mk2 Parts   1
SJ1      SRF RESET                   SOLDERJUMPERNO            SJ_2S-NO                 TiLDA Mk2 Parts   1
SJ2      SRF ERASE                   SOLDERJUMPERNO            SJ_2S-NO                 TiLDA Mk2 Parts   1
SJ3      ISP_RESET                   SOLDERJUMPER_2WAYS        SJ_3                     TiLDA Mk2 Parts   1
SJ4      IR_TX                       SOLDERJUMPERTRACE         SJ_2S-TRACE              TiLDA Mk2 Parts   1
SJ5      RESET SELECT                SOLDERJUMPER_2WAYS        SJ_3                     TiLDA Mk2 Parts   1
SJ6      RESET BUTTON                SOLDERJUMPERNO            SJ_2S-NO                 TiLDA Mk2 Parts   1
SJ7      Buzzer                      SOLDERJUMPERTRACE         SJ_2S-TRACE              TiLDA Mk2 Parts   1
SJ8      AREF                        SOLDERJUMPER_2WAYS        SJ_3                     TiLDA Mk2 Parts   1
SJ9      FTDI Power                  SOLDERJUMPERNO            SJ_2S-NO                 TiLDA Mk2 Parts   1
TP1      GND                         TPPAD1-13                 P1-13                    TiLDA Mk2 Parts   1
TP2      SRF Reset                   TPB1,27                   B1,27                    TiLDA Mk2 Parts   1
TP3      SRF Reset                   TPB1,27                   B1,27                    TiLDA Mk2 Parts   1
TP4      D22                         TPB1,27                   B1,27                    TiLDA Mk2 Parts   1
TP5      PB24                        TPB1,27                   B1,27                    TiLDA Mk2 Parts   1
TP6      SS3                         TPB1,27                   B1,27                    TiLDA Mk2 Parts   1
TP7      PB22                        TPB1,27                   B1,27                    TiLDA Mk2 Parts   1
TP8      PC10                        TPB1,27                   B1,27                    TiLDA Mk2 Parts   1
TP9      PC27                        TPB1,27                   B1,27                    TiLDA Mk2 Parts   1
TP10     D23                         TPB1,27                   B1,27                    TiLDA Mk2 Parts   1
TP11     TXD1                        TPB1,27                   B1,27                    TiLDA Mk2 Parts   1
TP12     RXD1                        TPB1,27                   B1,27                    TiLDA Mk2 Parts   1
TP15     TXD0                        TPB1,27                   B1,27                    TiLDA Mk2 Parts   1
TP16     RXD0                        TPB1,27                   B1,27                    TiLDA Mk2 Parts   1
TP17     D19                         TPPAD1-13                 P1-13                    TiLDA Mk2 Parts   1
TP18     D18                         TPPAD1-13                 P1-13                    TiLDA Mk2 Parts   1
TP19     3V3                         TPPAD1-13                 P1-13                    TiLDA Mk2 Parts   1
TR2      NTC/100K/3380               THERMISTOR_-0402-ROUND    R0402-ARDUINO-ROUND      TiLDA Mk2 Parts   1
TX       0603/LED/RED                LED0603-CORRECT           LED-0603-CORRECT         TiLDA Mk2 Parts   1
X1       12Mhz 13pF 30ppm (7pf caps) CRYSTAL-5X3.2             CRYSTAL-5X3.2            TiLDA Mk2 Parts   1
X2       32.768Khz                   RESONATOR_EPSON_FC_145    RESONATOR_EPSON_FC_145   TiLDA Mk2 Parts   1
Z1       CG0603MLC-05E               VARISTORCN0603            CT/CN0603                TiLDA Mk2 Parts   1
Z2       CG0603MLC-05E               VARISTORCN0603            CT/CN0603                TiLDA Mk2 Parts   1
Z3       CG0603MLC-05E               VARISTORCN0603            CT/CN0603                TiLDA Mk2 Parts   1
